DATE,OPEN,HIGH,LOW,CLOSE
10/01/1985,110.62000274658203,112.16000366210938,110.56500244140625,112.13999938964844
10/02/1985,112.13999938964844,112.54000091552734,110.77999877929688,110.82499694824219
10/03/1985,110.83999633789062,111.18499755859375,110.12000274658203,110.87000274658203
10/04/1985,110.87000274658203,110.87000274658203,109.8550033569336,110.07499694824219
10/07/1985,110.07499694824219,110.13500213623047,108.17500305175781,108.19999694824219
10/08/1985,108.19999694824219,108.2699966430664,106.75,107.16000366210938
10/09/1985,107.16000366210938,108.98999786376953,107.11499786376953,108.62999725341797
10/10/1985,108.62999725341797,109.51000213623047,107.80999755859375,109.43499755859375
10/11/1985,109.43499755859375,111.12000274658203,109.42500305175781,111.05000305175781
10/14/1985,111.05000305175781,113.2699966430664,111.05000305175781,113.18499755859375
10/15/1985,113.18499755859375,113.9800033569336,112.79000091552734,113.37999725341797
10/16/1985,113.37999725341797,114.33999633789062,113.19999694824219,114.31500244140625
10/17/1985,114.31500244140625,115.33999633789062,114.31500244140625,114.73999786376953
10/18/1985,114.73999786376953,114.96499633789062,113.83000183105469,114.31999969482422
10/21/1985,114.31999969482422,114.45500183105469,113.6500015258789,113.68000030517578
10/22/1985,113.80000305175781,114.88999938964844,113.42500305175781,114.44000244140625
10/23/1985,114.44000244140625,115.5250015258789,114.44000244140625,115.06500244140625
10/24/1985,115.06500244140625,116.1050033569336,115.06500244140625,115.48500061035156
10/25/1985,115.48500061035156,115.54499816894531,113.73999786376953,113.91000366210938
10/28/1985,113.91000366210938,113.91000366210938,113.20500183105469,113.81999969482422
10/29/1985,113.81999969482422,115.73500061035156,113.80500030517578,115.4000015258789
10/30/1985,115.4000015258789,116.125,115.33999633789062,115.7699966430664
10/31/1985,115.7699966430664,116.11000061035156,115.15499877929688,115.4800033569336
11/01/1985,115.4800033569336,116.7750015258789,115.4800033569336,116.2750015258789
11/04/1985,116.2750015258789,117.07499694824219,115.82499694824219,116.04000091552734
11/05/1985,116.04000091552734,116.56500244140625,115.87999725341797,116.44000244140625
11/06/1985,116.44000244140625,117.62000274658203,116.44000244140625,117.37999725341797
11/07/1985,117.37999725341797,117.96499633789062,117.37999725341797,117.62000274658203
11/08/1985,117.62000274658203,119.38999938964844,117.58499908447266,119.26000213623047
11/11/1985,119.26000213623047,120.54000091552734,119.18000030517578,120.4000015258789
11/12/1985,120.38999938964844,122.01000213623047,120.38999938964844,121.81999969482422
11/13/1985,121.81999969482422,121.91500091552734,120.9000015258789,121.16500091552734
11/14/1985,121.16500091552734,121.91500091552734,120.80000305175781,121.83499908447266
11/15/1985,121.83499908447266,123.0999984741211,121.79000091552734,122.17500305175781
11/18/1985,122.17500305175781,122.27999877929688,121.7300033569336,121.95500183105469
11/19/1985,121.95500183105469,122.80000305175781,121.73500061035156,122.56999969482422
11/20/1985,122.56999969482422,122.79499816894531,122.19999694824219,122.19999694824219
11/21/1985,122.19999694824219,123.80500030517578,122.19999694824219,123.61000061035156
11/22/1985,123.61000061035156,124.33499908447266,123.44499969482422,123.97000122070312
11/25/1985,123.97000122070312,124.16500091552734,122.81500244140625,123.13500213623047
11/26/1985,123.13500213623047,124.25499725341797,123.08999633789062,123.94999694824219
11/27/1985,123.94999694824219,125.875,123.87999725341797,125.7699966430664
11/29/1985,125.7699966430664,126.43499755859375,125.5199966430664,126.05999755859375
12/02/1985,126.05999755859375,126.27999877929688,124.8550033569336,125.18499755859375
12/03/1985,125.18499755859375,125.41999816894531,124.72000122070312,125.2300033569336
12/04/1985,125.2300033569336,128.05499267578125,125.16999816894531,127.94000244140625
12/05/1985,128.07000732421875,129.88999938964844,127.86000061035156,128.4600067138672
12/06/1985,128.4600067138672,128.5399932861328,126.7750015258789,126.95500183105469
12/09/1985,126.95500183105469,127.6449966430664,126.83000183105469,127.48500061035156
12/10/1985,127.48500061035156,128.52499389648438,127.15499877929688,127.9749984741211
12/11/1985,127.9749984741211,129.64999389648438,127.9749984741211,129.17999267578125
12/12/1985,129.17999267578125,130.10000610351562,129.17999267578125,129.76499938964844
12/13/1985,129.76499938964844,132.1699981689453,129.76499938964844,132.125
12/16/1985,132.125,133.18499755859375,132.05999755859375,132.61000061035156
12/17/1985,132.5449981689453,132.72999572753906,131.3249969482422,131.53500366210938
12/18/1985,131.52499389648438,131.97500610351562,130.71499633789062,131.13999938964844
12/19/1985,131.13999938964844,132.02999877929688,130.91000366210938,131.9250030517578
12/20/1985,131.9250030517578,132.5800018310547,131.69500732421875,132.25999450683594
12/23/1985,132.25999450683594,132.25999450683594,130.36500549316406,130.72500610351562
12/24/1985,130.72500610351562,130.72500610351562,129.30499267578125,130.02999877929688
12/26/1985,130.02999877929688,130.63499450683594,129.88999938964844,130.34500122070312
12/27/1985,130.34500122070312,131.58999633789062,130.25,131.48500061035156
12/30/1985,131.48500061035156,132.1300048828125,131.2449951171875,131.94500732421875
12/31/1985,131.94500732421875,132.66000366210938,131.90499877929688,132.2949981689453
01/02/1986,132.2949981689453,132.44500732421875,131.06500244140625,131.2550048828125
01/03/1986,131.2550048828125,131.2550048828125,130.0,130.5500030517578
01/06/1986,130.5500030517578,130.6999969482422,129.84500122070312,130.35499572753906
01/07/1986,130.35499572753906,132.875,130.3300018310547,132.7899932861328
01/08/1986,132.7899932861328,133.88499450683594,131.14999389648438,131.16000366210938
01/09/1986,131.0050048828125,131.16000366210938,128.05499267578125,128.8000030517578
01/10/1986,128.8000030517578,129.97000122070312,128.7899932861328,129.56500244140625
01/13/1986,129.56500244140625,129.59500122070312,128.6300048828125,129.09500122070312
01/14/1986,129.09500122070312,129.9600067138672,128.9949951171875,129.17999267578125
01/15/1986,129.17999267578125,131.65499877929688,129.0050048828125,131.53500366210938
01/16/1986,131.53500366210938,133.125,131.53500366210938,133.05999755859375
01/17/1986,133.05999755859375,133.60000610351562,132.60499572753906,132.77000427246094
01/20/1986,132.77000427246094,132.7899932861328,131.14500427246094,131.60499572753906
01/21/1986,131.60499572753906,132.01499938964844,130.59500122070312,131.08999633789062
01/22/1986,131.08999633789062,131.77999877929688,129.47000122070312,129.61500549316406
01/23/1986,129.61500549316406,129.61500549316406,128.4600067138672,129.27000427246094
01/24/1986,129.27000427246094,130.5399932861328,129.27000427246094,130.1999969482422
01/27/1986,130.2050018310547,130.98500061035156,129.7949981689453,130.7949981689453
01/28/1986,130.7949981689453,132.0449981689453,130.6699981689453,131.99000549316406
01/29/1986,131.99000549316406,134.1300048828125,131.99000549316406,133.05999755859375
01/30/1986,133.05999755859375,133.16000366210938,132.0850067138672,132.19000244140625
01/31/1986,132.19000244140625,133.22000122070312,132.02999877929688,132.9250030517578
02/03/1986,132.9250030517578,134.4250030517578,132.9250030517578,134.24000549316406
02/04/1986,134.24000549316406,135.69000244140625,134.24000549316406,134.60000610351562
02/05/1986,134.60000610351562,135.7899932861328,134.60000610351562,135.71499633789062
02/06/1986,135.71499633789062,136.94000244140625,135.56500244140625,136.63999938964844
02/07/1986,136.47000122070312,137.48500061035156,135.7449951171875,137.4199981689453
02/10/1986,137.39999389648438,138.2449951171875,137.30499267578125,138.125
02/11/1986,138.125,138.61000061035156,137.85000610351562,138.25999450683594
02/12/1986,138.25999450683594,138.76499938964844,138.03500366210938,138.6649932861328
02/13/1986,138.6649932861328,139.2949981689453,138.4499969482422,139.1649932861328
02/14/1986,139.1649932861328,140.6300048828125,139.1649932861328,140.16000366210938
02/18/1986,140.16000366210938,140.76499938964844,139.98500061035156,140.73500061035156
02/19/1986,140.73500061035156,140.9199981689453,139.5850067138672,139.63999938964844
02/20/1986,139.63999938964844,140.02499389648438,138.94000244140625,139.94500732421875
02/21/1986,139.94500732421875,141.23500061035156,139.94500732421875,141.14500427246094
02/24/1986,141.1649932861328,141.1750030517578,139.99000549316406,140.1999969482422
02/25/1986,140.1999969482422,140.1999969482422,138.86500549316406,139.39999389648438
02/26/1986,139.39999389648438,139.63499450683594,138.6750030517578,138.875
02/27/1986,138.875,140.52999877929688,138.73500061035156,140.52499389648438
02/28/1986,140.89999389648438,141.8300018310547,140.4149932861328,140.4250030517578
03/03/1986,140.4250030517578,140.6649932861328,139.60000610351562,139.74000549316406
03/04/1986,139.74000549316406,141.77000427246094,139.6999969482422,140.5449981689453
03/05/1986,140.5449981689453,140.61500549316406,139.56500244140625,140.2449951171875
03/06/1986,140.2449951171875,141.34500122070312,140.1699981689453,140.8000030517578
03/07/1986,140.8000030517578,141.1649932861328,140.24000549316406,140.7100067138672
03/10/1986,140.7100067138672,142.5800018310547,140.7100067138672,142.43499755859375
03/11/1986,142.43499755859375,145.5,142.43499755859375,145.34500122070312
03/12/1986,145.34500122070312,147.32000732421875,145.33999633789062,146.6199951171875
03/13/1986,146.6199951171875,147.0500030517578,145.8800048828125,147.00999450683594
03/14/1986,147.00999450683594,147.4499969482422,146.55499267578125,147.0
03/17/1986,147.0,147.0,145.57000732421875,146.36500549316406
03/18/1986,146.36500549316406,147.8249969482422,146.11500549316406,147.625
03/19/1986,147.625,148.57000732421875,147.4250030517578,147.47500610351562
03/20/1986,147.47500610351562,148.53500366210938,147.27000427246094,147.8000030517578
03/21/1986,147.8000030517578,148.78500366210938,147.55999755859375,148.0050048828125
03/24/1986,148.0050048828125,148.14500427246094,146.2050018310547,147.08999633789062
03/25/1986,147.08999633789062,147.7100067138672,146.625,147.48500061035156
03/26/1986,147.48500061035156,147.56500244140625,146.73500061035156,147.2550048828125
03/27/1986,147.25,149.05499267578125,147.1649932861328,148.375
03/31/1986,148.375,149.2050018310547,147.88999938964844,148.86000061035156
04/01/1986,148.86000061035156,149.22500610351562,148.06500244140625,148.4499969482422
04/02/1986,148.4499969482422,148.94000244140625,147.09500122070312,148.9199981689453
